title,size,color,rating,review_text
Best snow and rain boots,7.5,"Camel Brown, Black",5.0,I've gone too long without boots and decided to try these. They are so comfortable and looks great with everything. I read other reviews and was glad I did as I'm always a 7 but did size up to a 7.5 and they fit perfect. Size up half a size. I do have narrow and flat feet fyi. But the toe box narrows so if you don't size up then you will end up exchanging.
Cute!,8,"Camel Brown, Black",5.0,"Love the look of these shoes. I had been keeping my eye on them for a long time and snagged them on sale for Black Friday. They do not have a lot of cushion which kind of surprised me. I have to wear tall, thicker socks for them to be comfortable enough. I would buy them again as I really think they are cute. Just something to consider if the cushion is an issue for you."
Love them BUT,9,"Taffy, Black",4.0,"So don’t get me wrong. I love them. Wear them every single day in the fall/winter/spring. Waterproof. I let the laces loose so I can just slip them on and run out the door with my boys. HOWEVER, I am disappointed with the lack of “squish” on the inside. Like there’s noooo support really at all. So when you’re standing at a kids game they can get a little uncomfy just bc of the lack of support. I guess I could add insoles but for the price tag I’d expect a little love for my piggies. Also I have never found an insole I actually find comfy so there that. Still love them though. I wear them out gardening in march and literally every single day when it’s raining or snowing and they’ve held up awesome. I’ll for sure buy them again. My critique is harsh and if I’m being nit picky."
So comfortable!,5.5,"Omega Taupe, Black",5.0,I love these boots. I put them on the first time and wore them all day. They are true to size. I usually wear a 5 in most shoes but I typically go up to a 5.5 for boots to leave room for thicker socks and 5.5 fit me perfectly. Love the color and the match with everything to.
SO cute and perfect for winter days!,10,"Stone Green, Black",5.0,"I first spotted these boots at a major retail store, but unfortunately, they didn't have my size. Turning to Amazon proved to be a stroke of luck, as not only did I find the perfect fit, but they also came at a slightly lower price. However, I must express a bit of disappointment regarding the lack of cushioning on the inside. The absence of substantial support can make them uncomfortable during extended periods. Overall, these boots have exceeded my expectations and are undoubtedly worth every penny."
Love the look of these,7,"Fawn, Sea Salt",5.0,"I liked these so much I bought them in grey too! Be advised the grey ones are kinda sparkly which I wasn’t expecting. See pic

I originally saw these at a big box store but they didn't have my size, so I turned to Amazon and even better they were a little less in price. I bought these primarily for a trip to England, we will be going in their rainy season and wanted something stylish, comfortable, and light weight not in that particular order. These I feel were definitely worth the price. I have walked numerous times around the block trying to go a long distance to make sure they will hold up on the streets of London and I think they will definitely deliver. They come in a variety of colors and paired with some thicker socks I hope they will be perfect."
They're as cute as they look!,7,"Dove, Sea Sprite",5.0,"I love everything Sorel makes. These are no exception- but order up a 1/2 size if you want to be comfortable. I wear a 6.5 in their wedge sandals, and a 7 in anything with an enclosed toe, or boot. These boots are light weight, easy to take on an off, and feel nice. So far I've only tested them in the coldest temps so far this year (about 20 degrees) and my feet weren't cold. I probably wouldn't reach for them if it's below 0 due to the gap around the ankles."
"The boot is very nice, although they defiantly need real good breaking in which I cannot",8.5,"Vintage Pink, Gum 16",4.0,"I’ve purchased Mandy sorel boots, all of which were comfy when you first slipped your foot into them , these were not like those."
Love love love!,10.5,"Vintage Pink, Gum 16",5.0,These babies are so cute! I love them they’re very comfortable. I can string them loose so I can slip them off and on. They work great for low snow days.
Comfy and Cute,8.5,"Black, Sea Salt",5.0,"Waterproof and fit over my cankles comfortably! Make sure you order a half size up as others have suggested.
Wore them all day today with no blisters or rubs. Still comfortable!"
